neptune,7772169.655
neptune,7772169.653
normal,7759364.504
saint,7772149.927
mscan,7772167.18
normal,7769527.071
normal,7771097.847
guess_passwd,7772013.743
normal,7771770.168
guess_passwd,7772118.132
mscan,7772169.653
normal,7771507.69
neptune,7772169.653
neptune,7772169.655
normal,7719736.481
normal,7771230.236
normal,7771850.978
normal,7771582.812
normal,7772118.052
neptune,7772169.655
neptune,7772169.653
mscan,7772169.652
normal,7771676.072
normal,7771597.33
neptune,7772169.653
neptune,7772169.657
normal,7770820.472
normal,7771801.248
smurf,7771656.798
normal,7772108.022
apache2,7696288.041
normal,7771413.186
normal,7768634.756
normal,7772168.501
satan,7772169.667
mscan,7772162.4
normal,7769848.692
buffer_overflow,7771839.289
normal,7772115.544
normal,7685010.187
neptune,7772169.653
normal,7771079.141
normal,7771406.007
normal,7771307.832
neptune,7772169.656
normal,7771406.142
neptune,7772169.657
back,7717005.292
mscan,7772169.652
normal,7772116.869
normal,7771775.583
normal,7771106.752
neptune,7772169.656
neptune,7772169.654
warezmaster,7771913.056
normal,7771859.909
neptune,7772169.657
snmpgetattack,7772042.026
processtable,7772163.765
normal,7771826.252
guess_passwd,7772126.71
warezmaster,7492576.208
normal,7771571.114
normal,7770484.974
satan,7772169.663
normal,7771852.298
mscan,7772169.652
neptune,7772169.653
neptune,7772169.653
normal,7771862.159
neptune,7772169.655
normal,7772155.974
normal,7771787.095
normal,7771579.442
neptune,7772169.656
normal,7771886.734
normal,7771209.031
processtable,7772169.009
normal,7771683.914
normal,7771790.624
neptune,7772169.656
neptune,7772169.655
pod,7770709.897
normal,7771737.84
normal,7771748.447
normal,7771670.007
neptune,7772169.652
mscan,7772163.718
normal,7770212.645
normal,7770493.893
normal,7771697.189
normal,7771411.59
neptune,7772169.653
httptunnel,7772169.652
guess_passwd,7772126.71
normal,7772155.972
normal,7771145.812
normal,7772107.634
nmap,7772169.652
neptune,7772169.653
satan,7772169.668
guess_passwd,7772118.132
neptune,7772169.655
neptune,7772169.653
normal,7771133.871
neptune,7772169.656
ps,7771710.464
normal,7771673.933
neptune,7772169.653
normal,7771803.9
normal,7769701.591
neptune,7772169.655
processtable,7772169
processtable,7772169.033
normal,7771902.904
neptune,7772169.656
normal,7771791.74
smurf,7771151.776
neptune,7772169.657
snmpguess,7772122.312
normal,7771823.171
smurf,7771668.636
nmap,7772169.652
neptune,7772169.653
normal,7772088.099
normal,7772114.394
guess_passwd,7772018.675
neptune,7772169.655
normal,7771811.862
normal,7772121.307
normal,7772121.308
normal,7770986.49
processtable,7772162.401
normal,7771250.479
processtable,7772163.848
normal,7771776.83
neptune,7772169.655
snmpguess,7772127.244
mscan,7772162.4
normal,7771907.338
normal,7771510.286
normal,7772121.308
neptune,7772169.653
neptune,7772169.657
apache2,7700607.005
ipsweep,7772161.763
mscan,7772169.652
neptune,7772169.653
normal,7770492.394
processtable,7772163.789
guess_passwd,7772016.368
neptune,7772169.654
pod,7770709.896
mailbomb,7769557.908
normal,7771839.473
neptune,7772169.656
processtable,7772169.067
neptune,7772169.657
neptune,7772169.654
neptune,7772169.655
neptune,7772169.657
neptune,7772169.656
satan,7772169.666
neptune,7772169.654
warezmaster,7771910.754
neptune,7772169.653
neptune,7772169.655
warezmaster,7771915.688
normal,7770454.946
neptune,7772169.653
processtable,7772163.83
normal,7767524.946
neptune,7772169.656
neptune,7772169.657
apache2,7703486.335
normal,7771753.621
satan,7772169.669
saint,7772169.665
guess_passwd,7772021.631
normal,7768140.054
smurf,7771668.617
normal,7772119.009
normal,7770008.606
normal,7771901.87
normal,7772119.008
guess_passwd,7772128.683
neptune,7772169.653
neptune,7772169.655
normal,7772117.86
neptune,7772169.653
normal,7771609.518
processtable,7772163.819
neptune,7772169.654
normal,7749855.494
normal,7771291.226
normal,7772119.005
normal,7771621.478
guess_passwd,7772118.133
neptune,7772169.655
snmpgetattack,7772042.027
mscan,7772167.179
normal,7771845.55
apache2,7772169.658
normal,7770930.264
normal,7771843.549
satan,7772169.665
neptune,7772169.655
processtable,7772162.401
normal,7771623.289
normal,7771870.161
apache2,7700607.005
warezmaster,7772157.817
normal,7771199.345
normal,7771702.529
normal,7772066.088
smurf,7771175.444
normal,7771370.305
